Title,Description,Priority,Label,Status
"[CRITICAL] Install LinkedIn Insight Tag on truv.com","Tag is currently on staging domain (truvcom.wpcomst...). All LinkedIn attribution, retargeting, and conversion data is invalid. Install on truv.com <head>, verify with Insight Tag Helper Chrome extension. Allow 24-48 hrs for data.",Urgent,LinkedIn,Todo
"[CRITICAL] Reactivate LinkedIn conversion tracking","'Form Submission Signup' has been INACTIVE since Dec 10, 2025. LinkedIn has been running blind for 10+ weeks. Diagnose why it deactivated (likely URL change or tag removal). Recreate against current production demo/signup URL.",Urgent,LinkedIn,Todo
"[CRITICAL] Fix LinkedIn Lead Gen Form / campaign objective","$1,131 spent, 114 clicks, 0 leads. All 3 campaigns are 'Traffic' objective — clicks go to external page, not Lead Gen Form. Verify each campaign: objective = Lead Generation OR Lead Gen Form attached as CTA destination.",Urgent,LinkedIn,Todo
"[CRITICAL] Implement Meta Advanced Matching","Diagnostic Error #1 open 55 days (since Dec 30, 2025). EMQ stuck at 6.9/10. Pass SHA-256 hashed email (em) minimum on all conversion events in both Browser and CAPI. Expected lift: 6.9 → 8.5+. ~2-4 dev hours.",Urgent,Meta,Todo
"[CRITICAL] Fix Meta CompleteRegistration price parameter","Diagnostic Error #2 detected today. Affects 4 ad sets. Meta estimates 5% ROAS improvement. Add value (proxy: avg deal value × lead-to-close rate) and currency: USD to CompleteRegistration pixel event. ~30-60 dev min.",Urgent,Meta,Todo
"[CRITICAL] Consolidate Google YouTube from 144 ads to 5-10","144 ads in one campaign prevents optimization or creative testing. Near-zero delivery. Keep top 5-10 by view rate/CTR. Pause all others. If no meaningful data, consolidate to 3-5 strongest thematic concepts.",Urgent,Google,Todo
"[CRITICAL] Fix Google 'Purchase' conversion action","'Purchase' is wrong for B2B SaaS — corrupts smart bidding signal. Rename to reflect actual event or pause. Designate 'Submit lead form' as sole Primary conversion. Set others to Secondary.",Urgent,Google,Todo
"[HIGH] Pause Partnership ads on LinkedIn + Meta","Partnership messaging is bottom performer on every platform, every company. CrossCountry Partnership: 271 reach. Prosperity Partnership: 269 reach. Reallocate budget to Cost Savings and VOIE variants.",High,Cross-Platform,Todo
"[HIGH] Deploy PHM carousel variants on LinkedIn","5 carousel variants already built at docs/linkedin-ads/prosperity-home-mortgage/. Metric-led, quote-led, challenge/result, before/after, brand awareness. Zero production cost — upload to Campaign Manager.",High,LinkedIn,Todo
"[HIGH] Consolidate LinkedIn budget to PHM campaign","Pause CCM ($16.69 CPC, 0.73% CTR — worst performer) and FCM temporarily. PHM has best CTR (1.13%), lowest CPC ($8.57), highest clicks (68). Concentrate budget to give one campaign enough signal to exit learning.",High,LinkedIn,Todo
