Property Name,Address,City,State,Zip,Total Units,Stories,Year Built,Management Company,Phone,Email,Website,Studio Price Range,1BR Price Range,2BR Price Range,3BR Price Range,Sq Ft Range,Walk Score,Pet Friendly,Parking,Key Amenities
The Bowie,"311 Bowie St",Austin,TX,78703,358,37,2015,RPM,(512) 650-2626,,liveatbowie.com,"$1,914+","$1,700+","$3,000+","$5,000+","448–2,654",95,Yes,"Garage, EV charging, bike storage","Rooftop infinity pool, fitness center, 10th floor dog park, coffee bar, conference rooms"
AMLI Downtown,"201 Lavaca St",Austin,TX,78701,220,7,2004,AMLI Residential,(844) 885-2134,,amli.com/apartments/austin/2nd-street-district-apartments/amli-downtown,N/A,"$2,330+","$2,800+",N/A,"691–1,659",,Yes,"Garage, bike storage","Rooftop deck, resort-style pool, 24-hour fitness center, business center"
AMLI on 2nd,"421 W 3rd St",Austin,TX,78701,,,,AMLI Residential,"(844) 885-2134 / (512) 472-0421",,amli.com/apartments/austin/2nd-street-district-apartments/amli-on-2nd,N/A,"$2,425+","$3,200+",N/A,,96,Yes,"Garage, EV charging","Oasis pool, resident lounge, 24-hour fitness, coffee bar, conference room"
Sentral East Austin (1630),"1630 E 6th St",Austin,TX,78702,118,5,2019,Sentral,(737) 373-4256,,sentral.com/austin/east-austin,"$1,299+","$2,310+","$1,850+",N/A,,,,Garage,"Pool, co-working, community events, indoor/outdoor lounges"
Sentral East Austin (1614),"1614 E 6th St",Austin,TX,78702,,,,Sentral,(737) 373-4256,,sentral.com/austin/east-austin,N/A,"$1,868+","$2,500+",N/A,,,,Garage,"Pool, co-working, community events, indoor/outdoor lounges"
The Arnold,"1621 E 6th St",Austin,TX,78702,346,5,2017,,"(512) 538-1770",,arnoldaustin.com,"$1,079+","$1,230+","$1,800+",N/A,"393–1,204",,Yes,"Covered parking, EV charging","Rooftop terrace with fire pit, wellness center, yoga studio, Butterfly MX access"
Residences at 6G,"600 Guadalupe St",Austin,TX,78701,349,66,2023,,(833) 558-3118,,liveat6g.com,"$2,400+","$3,500–$4,600","$5,900–$7,300","$13,000+","617–3,250",,Yes,Garage,"Rooftop pool, fitness center, theater, golf simulator, sky lounge, co-working, pet facilities"
700 River,"700 River St",Austin,TX,78701,377,43,,Greystar,,,700river.com,"$2,480+","$3,276–$5,117","$5,872+","$10,702+","464–2,138",,Yes,"Structured garage ($175–$550/mo)","Rooftop infinity pool, golf simulator, sky lounge (43rd floor), dog run, pet spa, fitness center with sauna"
415 Colorado,"415 Colorado St",Austin,TX,78701,328,47,,,"(512) 994-0087",,415colorado.com,"$2,209+","$3,429+","$5,424+","$11,284+","551–3,132",99,Yes,"Garage ($150/mo)","19th-floor pool, co-working, 24/7 concierge, dog park terrace, 46th-floor sky lounge"
Paseo,"80 Rainey St",Austin,TX,78701,557,48,,Greystar,"(512) 856-5117",hello@paseoatx.com,paseoatx.com,"$2,562+","$3,000+","$5,000+","$7,500+","413–1,980",,Yes,Garage,"Two pools, spa with sauna & cold plunge, two-story fitness studio, co-working, Daydreamer café, rooftop pool (48th floor)"
Northshore,"110 San Antonio St",Austin,TX,78701,397,38,2016,,"(512) 538-1753",,northshoreaustin.com,N/A,"$2,389+","$3,500+","$5,000+","Up to 2,567",96,Yes,"Garage, reserved & private options","Technogym fitness club, media room, conference rooms, 24-hour concierge, LEED Silver, EV charging"
The Quincy,"91 Red River St",Austin,TX,78701,347,26,2020,,"(512) 469-2999",,quincyatx.com,"$1,464+","$1,700+","$2,148–$2,935","$3,652+","415–1,234",,Yes,"Garage, EV charging","Pool with soaking ledge, rooftop terrace, co-working, sports lounge, bike room, Royal Blue Grocery on-site"
